timestamp,price,market_cap,total_volume,date,coin
1770739383186,84.22424840018472,47773364785.90153,4097883466.4499626,2026-02-10 16:03:03.186,solana
1770743004437,84.4061355009356,47904578281.54919,4080946621.567708,2026-02-10 17:03:24.437,solana
1770746437877,84.80930590825467,48126843094.389694,3879381043.517883,2026-02-10 18:00:37.877,solana
1770750150883,82.99136750650997,47099566235.01392,3752085251.187999,2026-02-10 19:02:30.883,solana
1770753793224,83.09594335091818,47160430315.85122,3732101180.62592,2026-02-10 20:03:13.224,solana
1770757241996,82.59763094266212,46891812712.557434,3632647500.970844,2026-02-10 21:00:41.996,solana
1770761011377,82.36766340743877,46726157930.8729,3588719766.313195,2026-02-10 22:03:31.377,solana
1770764565912,82.60802751646409,46897843417.414665,3577771498.891217,2026-02-10 23:02:45.912,solana
1770768232034,82.86852109504584,47040819950.99199,3323049605.530851,2026-02-11 00:03:52.034,solana
1770771778844,83.43928830982924,47371692629.31144,3569436659.6857715,2026-02-11 01:02:58.844,solana
1770775394454,83.63352195676231,47480843029.05487,3541833427.3628874,2026-02-11 02:03:14.454,solana
1770778814518,83.64639873679698,47527949287.650185,3568300164.1507354,2026-02-11 03:00:14.518,solana
1770782528713,83.36717959948786,47330961650.37053,3577315013.0901575,2026-02-11 04:02:08.713,solana
1770786239889,81.94592295387164,46547703551.2873,3634813869.592633,2026-02-11 05:03:59.889,solana
1770789788410,81.86750196107943,46482970202.98823,3590204153.546029,2026-02-11 06:03:08.410,solana
1770793398603,80.8367808000064,45904119842.17356,3617097950.08683,2026-02-11 07:03:18.603,solana
1770797012461,81.09755425853518,46064264679.139626,3651719320.2654986,2026-02-11 08:03:32.461,solana
1770800640923,81.04274912275449,46006931788.470505,3565141629.764788,2026-02-11 09:04:00.923,solana
1770804222211,80.73515750037221,45847798419.607666,3530965927.2466927,2026-02-11 10:03:42.211,solana
1770807695992,80.52190004492708,45703007495.99981,3609861705.755177,2026-02-11 11:01:35.992,solana
1770811465153,81.19679125698362,46102204078.63647,3559145613.678397,2026-02-11 12:04:25.153,solana
1770814923057,81.13503764888105,46060832379.91992,3578139172.3906913,2026-02-11 13:02:03.057,solana
1770818439778,81.29993406354052,46152605125.30536,3728204916.0162625,2026-02-11 14:00:39.778,solana
1770822143722,80.38283822196293,45803438006.56126,3975942986.4377236,2026-02-11 15:02:23.722,solana
1770825816353,79.84170294711112,45368738023.09601,4085103234.520026,2026-02-11 16:03:36.353,solana
1770829376846,78.82264774038215,44788014114.6912,3921967214.125897,2026-02-11 17:02:56.846,solana
1770833032720,79.2417117805098,45001467468.72688,4332140732.334478,2026-02-11 18:03:52.720,solana
1770836470258,79.77059582990915,45291435398.20548,4273079643.3552637,2026-02-11 19:01:10.258,solana
1770840149955,79.72374245496654,45292518130.77502,4268255473.874612,2026-02-11 20:02:29.955,solana
1770843639651,79.59318844790539,45170466537.49267,4278032261.709734,2026-02-11 21:00:39.651,solana
1770847334493,80.24091420913636,45570025850.14136,3835616664.226921,2026-02-11 22:02:14.493,solana
1770850976481,79.55868214762354,45231531480.24828,4216933396.439191,2026-02-11 23:02:56.481,solana
1770854595544,79.21050883625789,45008377201.46702,4238908097.782234,2026-02-12 00:03:15.544,solana
1770858216998,79.97874476673542,45413306412.622734,3959667571.2263875,2026-02-12 01:03:36.998,solana
1770861735193,80.35901365432552,45631661035.66156,4296880786.952116,2026-02-12 02:02:15.193,solana
1770865326963,80.29440232602764,45595455097.89135,4269033367.0005445,2026-02-12 03:02:06.963,solana
1770868956413,80.46751603457528,45674450368.031624,4530053275.266947,2026-02-12 04:02:36.413,solana
